ticker,longName,sector,industry
RJF,"Raymond James Financial, Inc.",Financial Services,Capital Markets
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric
WDC,Western Digital Corporation,Technology,Computer Hardware
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts
PTC,PTC Inc.,Technology,Software - Application
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense
SYF,Synchrony Financial,Financial Services,Credit Services
RF,Regions Financial Corporation,Financial Services,Banks - Regional
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure
EQT,EQT Corporation,Energy,Oil & Gas E&P
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers
WAT,Waters Corporation,Healthcare,Diagnostics & Research
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional
MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans
TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments
STX,Seagate Technology Holdings plc,Technology,Computer Hardware
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods
WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction
NTRS,Northern Trust Corporation,Financial Services,Asset Management
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research
TXT,Textron Inc.,Industrials,Aerospace & Defense
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors
ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products
MAS,Masco Corporation,Industrials,Building Products & Equipment
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance
WRB,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products
SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services
IP,International Paper Company,Consumer Cyclical,Packaging & Containers
LUV,Southwest Airlines Co.,Industrials,Airlines
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research
